student_id,product,skill,level,class_id
L1804316713,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1804316713,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1804316713,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1805320329,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1805320329,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1805320329,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1806329401,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1806329401,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1806329401,English Advantage 演習 5回,General English,Level 0,1738
L1806329603,【ショート継続16】RS English Advantage Pre-advance Book8,RS English,Level 8,1735
L1807335365,【販売停止】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1807335365,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1807335365,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1807335365,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1807335579,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1808340942,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1808340942,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1808342721,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1808342721,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1808342721,English Advantage 演習 1回,General English,Level 0,1738
L1808343611,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1812369501,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1812369501,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1812369501,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1812369501,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1812369501,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1812369842,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1812369842,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1901376550,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1901376550,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1901376603,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
